fecha,titular,url
2025-02-12,Chile contribuye a iniciativas globales para una IA sostenible en cumbre de París,https://www.minciencia.gob.cl/noticias/chile-contribuye-a-iniciativas-globales-para-una-ia-sostenible-en-cumbre-de-paris/
2025-02-12,Con una inspiradora charla en el Museo Ruinas de Huanchaca celebraron el Día de la Mujer y la Niña en la Ciencia en Antofagasta,https://www.minciencia.gob.cl/noticias/con-una-inspiradora-charla-en-el-museo-ruinas-de-huanchaca-celebraron-el-dia-de-la-mujer-y-la-nina-en-la-ciencia-en-antofagasta/
2025-02-12,Jóvenes de Cabrero conmemoraron el Día de la Mujer y Niña en Ciencia en el CICAT,https://www.minciencia.gob.cl/noticias/jovenes-de-cabrero-conmemoraron-el-dia-de-la-mujer-y-nina-en-ciencia-en-el-cicat/
2025-02-04,"Cultivos de mujeres campesinas, navegación Kawésqar y rescate de plantas medicinales: 120 millones para proyectos de ciencia en comunidades",https://www.minciencia.gob.cl/noticias/cultivos-de-mujeres-campesinas-navegacion-kawesqar-y-rescate-de-plantas-medicinales-120-millones-para-proyectos-de-ciencia-en-comunidades/
2025-01-31,Ministra de Ciencia presenta avances de Agenda de Tecnologías Emergentes a gremios,https://www.minciencia.gob.cl/noticias/ministra-de-ciencia-presenta-avances-de-agenda-de-tecnologias-emergentes-a-gremios/
2025-01-31,Fomentar la colaboración científica fue el eje central en reunión sostenida entre seremi Verónica Vallejos y ministra de Ciencias colombiana Yesenia Olaya,https://www.minciencia.gob.cl/noticias/fomentar-la-colaboracion-cientifica-fue-el-eje-central-en-reunion-sostenida-entre-seremi-veronica-vallejos-y-ministra-de-ciencias-colombiana-yesenia-olaya/
2025-01-30,Dos especialistas de Chile participan en la elaboración de informe mundial que da claves sobre la seguridad de la Inteligencia Artificial,https://www.minciencia.gob.cl/noticias/dos-especialistas-de-chile-participan-en-la-elaboracion-de-informe-mundial-que-da-claves-sobre-la-seguridad-de-la-inteligencia-artificial/
2025-01-29,Seremi de Ciencia de la Macrozona Austral reconoce a jóvenes que ingresaron a la universidad con el cupo Más Mujeres Científicas,https://www.minciencia.gob.cl/noticias/seremi-de-ciencia-de-la-macrozona-austral-reconoce-a-jovenes-que-ingresaron-a-la-universidad-con-el-cupo-mas-mujeres-cientificas/
2025-01-24,Plan Nacional de Centros: MinCiencia y ANID continúan fortaleciendo la investigación en Chile,https://www.minciencia.gob.cl/noticias/plan-nacional-de-centros-minciencia-y-anid-continuan-fortaleciendo-la-investigacion-en-chile/
2025-01-23,"Gobierno reconoce a futuras estudiantes de carreras de Ciencias, Tecnología, Ingeniería y Matemáticas",https://www.minciencia.gob.cl/noticias/gobierno-reconoce-a-futuras-estudiantes-de-carreras-de-ciencias-tecnologia-ingenieria-y-matematicas/
